order_id,date,customer_id,product_id,qty,price,region,channel,revenue
ORD000000,2024-04-12,CUST0402,PROD072,7,178.68,South,Online,1250.76
ORD000001,2024-12-14,CUST0606,PROD017,1,336.57,East,Partner,336.57
ORD000002,2024-09-27,CUST1516,PROD329,6,469.45,South,Mobile,2816.7
ORD000003,2024-04-16,CUST0229,PROD160,4,46.9,Central,Partner,187.6
ORD000004,2024-03-12,CUST1599,PROD070,8,263.11,East,Store,2104.88
ORD000005,2024-07-07,CUST1876,PROD113,8,50.13,East,Store,401.04
ORD000006,2024-01-21,CUST0537,PROD232,3,195.77,West,Store,587.3100000000001
ORD000007,2024-04-12,CUST0268,PROD021,4,95.94,South,Online,383.76
ORD000008,2024-05-01,CUST1429,PROD135,1,328.22,South,Store,328.22
ORD000009,2024-08-02,CUST1817,PROD263,10,381.34,Central,Online,3813.3999999999996
ORD000010,2024-11-26,CUST1035,PROD111,2,131.2,East,Store,262.4
ORD000011,2024-03-28,CUST1344,PROD487,7,359.31,West,Partner,2515.17
ORD000012,2024-04-09,CUST1737,PROD246,7,228.94,North,Partner,1602.58
ORD000013,2024-12-25,CUST0126,PROD283,9,148.95,West,Partner,1340.55
ORD000014,2024-05-31,CUST0306,PROD008,10,266.47,West,Partner,2664.7000000000003
ORD000015,2024-05-10,CUST1726,PROD457,9,196.03,West,Online,1764.27
ORD000016,2024-05-29,CUST1535,PROD284,9,122.7,West,Store,1104.3
ORD000017,2024-11-04,CUST1113,PROD207,6,380.85,East,Mobile,2285.1000000000004
ORD000018,2024-09-14,CUST1379,PROD194,8,400.79,West,Partner,3206.32
ORD000019,2024-12-09,CUST0628,PROD455,9,402.15,South,Store,3619.35
ORD000020,2024-10-20,CUST1376,PROD047,7,197.25,South,Store,1380.75
ORD000021,2024-07-10,CUST0689,PROD466,4,93.07,West,Store,372.28
ORD000022,2024-10-03,CUST1038,PROD342,4,421.8,South,Mobile,1687.2
ORD000023,2024-06-09,CUST1281,PROD242,6,171.34,East,Partner,1028.04
ORD000024,2024-11-09,CUST1233,PROD010,4,376.55,North,Online,1506.2
ORD000025,2024-01-22,CUST0281,PROD370,7,410.55,West,Online,2873.85
ORD000026,2024-09-09,CUST0443,PROD289,8,386.39,South,Mobile,3091.12
ORD000027,2024-08-23,CUST1864,PROD391,8,201.0,South,Mobile,1608.0
ORD000028,2024-12-10,CUST0837,PROD131,8,469.63,East,Online,3757.04
ORD000029,2024-02-18,CUST0389,PROD270,2,333.48,East,Online,666.96
ORD000030,2024-02-28,CUST0617,PROD428,10,292.12,North,Partner,2921.2
ORD000031,2024-06-18,CUST1507,PROD302,2,351.98,Central,Online,703.96
ORD000032,2024-07-06,CUST0147,PROD061,2,31.92,Central,Online,63.84
ORD000033,2024-09-27,CUST1303,PROD164,2,201.35,Central,Online,402.7
ORD000034,2024-07-08,CUST0521,PROD013,4,441.8,North,Mobile,1767.2
ORD000035,2024-06-23,CUST0630,PROD272,5,88.93,West,Online,444.65000000000003
ORD000036,2024-02-20,CUST1630,PROD208,4,213.06,Central,Online,852.24
ORD000037,2024-12-29,CUST0434,PROD246,5,208.57,Central,Partner,1042.85
ORD000038,2024-02-24,CUST0144,PROD133,4,184.46,South,Store,737.84
ORD000039,2024-08-31,CUST0289,PROD244,7,285.55,South,Mobile,1998.8500000000001
ORD000040,2024-11-15,CUST1410,PROD473,10,498.14,West,Mobile,4981.4
ORD000041,2024-05-10,CUST0014,PROD294,1,135.37,East,Partner,135.37
ORD000042,2024-11-02,CUST0257,PROD486,1,355.43,North,Online,355.43
ORD000043,2024-05-14,CUST1370,PROD434,2,381.42,Central,Store,762.84
ORD000044,2024-01-21,CUST1722,PROD038,1,296.4,North,Partner,296.4
ORD000045,2024-11-24,CUST1369,PROD359,10,57.76,South,Store,577.6
ORD000046,2024-06-15,CUST1424,PROD056,10,290.46,North,Online,2904.6
ORD000047,2024-09-30,CUST1231,PROD319,3,477.2,South,Store,1431.6
ORD000048,2024-03-29,CUST0858,PROD376,6,177.61,North,Partner,1065.66
ORD000049,2024-11-11,CUST0943,PROD048,10,323.45,South,Online,3234.5
ORD000050,2024-01-14,CUST1196,PROD105,6,480.1,North,Mobile,2880.6000000000004
ORD000051,2024-08-29,CUST0464,PROD474,1,401.02,Central,Store,401.02
ORD000052,2024-09-21,CUST0270,PROD059,6,347.27,Central,Online,2083.62
ORD000053,2024-12-11,CUST1245,PROD077,5,485.86,West,Online,2429.3
ORD000054,2024-02-22,CUST1176,PROD428,7,93.59,North,Partner,655.13
ORD000055,2024-12-05,CUST0623,PROD499,6,388.65,East,Online,2331.8999999999996
ORD000056,2024-04-01,CUST1207,PROD218,7,209.35,West,Partner,1465.45
ORD000057,2024-09-20,CUST1423,PROD383,2,186.61,North,Mobile,373.22
ORD000058,2024-02-04,CUST1875,PROD055,1,265.13,East,Store,265.13
ORD000059,2024-07-24,CUST0072,PROD055,7,26.54,Central,Mobile,185.78
ORD000060,2024-03-21,CUST1442,PROD129,9,163.14,Central,Partner,1468.2599999999998
ORD000061,2024-02-19,CUST1922,PROD392,2,91.45,Central,Mobile,182.9
ORD000062,2024-12-25,CUST1307,PROD383,7,77.96,East,Store,545.7199999999999
ORD000063,2024-01-02,CUST0074,PROD388,3,175.3,South,Mobile,525.9000000000001
ORD000064,2024-02-23,CUST0355,PROD085,6,403.11,North,Online,2418.66
ORD000065,2024-04-15,CUST1751,PROD214,3,108.54,West,Store,325.62
ORD000066,2024-09-16,CUST0497,PROD115,10,270.39,West,Mobile,2703.8999999999996
ORD000067,2024-11-05,CUST1352,PROD437,5,376.84,Central,Store,1884.1999999999998
ORD000068,2024-07-09,CUST0988,PROD314,2,128.08,South,Mobile,256.16
ORD000069,2024-08-05,CUST1559,PROD293,8,462.86,North,Online,3702.88
ORD000070,2024-02-13,CUST0580,PROD049,8,434.58,North,Partner,3476.64
ORD000071,2024-06-10,CUST0910,PROD067,7,133.08,West,Mobile,931.5600000000001
ORD000072,2024-07-20,CUST1471,PROD275,6,494.92,West,Store,2969.52
ORD000073,2024-09-26,CUST0373,PROD129,1,337.89,West,Mobile,337.89
ORD000074,2024-12-16,CUST0362,PROD029,8,150.19,North,Partner,1201.52
ORD000075,2024-10-30,CUST0093,PROD343,1,343.71,West,Online,343.71
ORD000076,2024-09-27,CUST1345,PROD033,8,336.46,North,Online,2691.68
ORD000077,2024-08-02,CUST0324,PROD119,2,307.03,Central,Partner,614.06
ORD000078,2024-09-08,CUST0384,PROD180,8,358.73,South,Online,2869.84
ORD000079,2024-07-08,CUST0575,PROD425,10,141.47,West,Mobile,1414.7
ORD000080,2024-10-22,CUST0736,PROD151,4,489.7,North,Store,1958.8
ORD000081,2024-07-31,CUST0737,PROD133,7,430.37,Central,Mobile,3012.59
ORD000082,2024-07-26,CUST1905,PROD327,5,375.41,East,Partner,1877.0500000000002
ORD000083,2024-08-24,CUST0346,PROD185,8,22.89,Central,Mobile,183.12
ORD000084,2024-12-03,CUST1873,PROD134,6,299.29,South,Mobile,1795.7400000000002
ORD000085,2024-02-22,CUST1127,PROD177,5,356.18,Central,Partner,1780.9
ORD000086,2024-10-06,CUST1239,PROD022,1,428.51,West,Store,428.51
ORD000087,2024-08-04,CUST1216,PROD241,3,473.62,West,Online,1420.8600000000001
ORD000088,2024-09-08,CUST1696,PROD077,10,458.77,East,Partner,4587.7
ORD000089,2024-07-06,CUST1908,PROD204,9,208.96,North,Online,1880.64
ORD000090,2024-02-10,CUST0719,PROD004,9,449.29,Central,Online,4043.61
ORD000091,2024-06-05,CUST0781,PROD328,5,10.37,East,Partner,51.849999999999994
ORD000092,2024-01-15,CUST1020,PROD448,3,182.22,West,Store,546.66
ORD000093,2024-10-27,CUST1218,PROD165,6,65.8,North,Partner,394.79999999999995
ORD000094,2024-03-05,CUST1404,PROD415,5,442.7,North,Partner,2213.5
ORD000095,2024-12-10,CUST1427,PROD421,1,464.71,South,Mobile,464.71
ORD000096,2024-11-22,CUST0664,PROD128,2,135.44,West,Mobile,270.88
ORD000097,2024-01-09,CUST1773,PROD045,5,189.98,North,Partner,949.9
ORD000098,2024-12-09,CUST0600,PROD218,9,492.1,South,Mobile,4428.900000000001
ORD000099,2024-05-08,CUST0011,PROD235,4,287.37,South,Store,1149.48
ORD000100,2024-05-15,CUST0187,PROD136,9,253.56,West,Mobile,2282.04
ORD000101,2024-03-03,CUST0726,PROD168,3,255.21,North,Store,765.63
ORD000102,2024-05-18,CUST1039,PROD481,1,351.13,North,Online,351.13
ORD000103,2024-03-21,CUST0778,PROD237,6,477.73,Central,Online,2866.38
ORD000104,2024-06-11,CUST1321,PROD093,10,189.64,North,Store,1896.3999999999999
ORD000105,2024-10-15,CUST0411,PROD005,7,94.6,South,Online,662.1999999999999
ORD000106,2024-09-17,CUST0956,PROD156,4,100.66,East,Store,402.64
ORD000107,2024-08-18,CUST0585,PROD245,10,19.98,West,Partner,199.8
ORD000108,2024-02-10,CUST1076,PROD360,5,282.15,East,Mobile,1410.75
ORD000109,2024-01-28,CUST1664,PROD081,4,465.27,North,Online,1861.08
ORD000110,2024-05-14,CUST1052,PROD247,3,359.41,South,Online,1078.23
ORD000111,2024-07-19,CUST0577,PROD343,1,496.55,East,Partner,496.55
ORD000112,2024-11-23,CUST1041,PROD493,6,455.67,West,Mobile,2734.02
ORD000113,2024-09-24,CUST1375,PROD137,10,251.01,Central,Mobile,2510.1
ORD000114,2024-02-02,CUST1452,PROD386,5,248.41,East,Store,1242.05
ORD000115,2024-02-17,CUST1674,PROD063,1,317.9,Central,Online,317.9
ORD000116,2024-03-02,CUST1855,PROD480,5,64.36,North,Mobile,321.8
ORD000117,2024-08-03,CUST1253,PROD307,6,307.77,North,Online,1846.62
ORD000118,2024-10-19,CUST1790,PROD116,10,237.4,West,Online,2374.0
ORD000119,2024-04-08,CUST0989,PROD113,5,324.94,Central,Online,1624.7
ORD000120,2024-06-20,CUST1234,PROD031,1,286.95,Central,Online,286.95
ORD000121,2024-12-25,CUST1455,PROD007,5,162.09,West,Store,810.45
ORD000122,2024-08-01,CUST1318,PROD414,10,307.8,East,Mobile,3078.0
ORD000123,2024-02-04,CUST0743,PROD442,1,189.35,West,Online,189.35
ORD000124,2024-08-14,CUST1777,PROD003,3,105.36,North,Mobile,316.08
ORD000125,2024-04-10,CUST1606,PROD307,2,340.78,Central,Partner,681.56
ORD000126,2024-05-10,CUST1128,PROD243,1,160.11,South,Partner,160.11
ORD000127,2024-09-13,CUST0204,PROD056,4,445.62,South,Mobile,1782.48
ORD000128,2024-01-05,CUST1077,PROD073,2,107.67,North,Store,215.34
ORD000129,2024-08-05,CUST0974,PROD010,5,304.07,Central,Store,1520.35
ORD000130,2024-09-11,CUST0940,PROD061,10,290.06,Central,Partner,2900.6
ORD000131,2024-12-24,CUST1399,PROD494,1,106.89,West,Online,106.89
ORD000132,2024-10-09,CUST1866,PROD050,10,225.54,East,Partner,2255.4
ORD000133,2024-07-25,CUST1078,PROD122,1,341.01,West,Online,341.01
ORD000134,2024-01-15,CUST1300,PROD175,10,166.08,South,Partner,1660.8000000000002
ORD000135,2024-12-11,CUST1359,PROD474,4,65.78,Central,Partner,263.12
ORD000136,2024-02-11,CUST1055,PROD001,7,311.47,East,Store,2180.29
ORD000137,2024-06-27,CUST1159,PROD478,2,119.82,West,Mobile,239.64
ORD000138,2024-03-03,CUST1082,PROD441,2,343.92,East,Mobile,687.84
ORD000139,2024-12-17,CUST0105,PROD038,1,421.34,South,Partner,421.34
ORD000140,2024-08-18,CUST1290,PROD190,5,70.44,East,Store,352.2
ORD000141,2024-08-28,CUST1546,PROD079,6,224.43,Central,Online,1346.58
ORD000142,2024-02-21,CUST1520,PROD345,6,228.01,East,Partner,1368.06
ORD000143,2024-04-05,CUST0253,PROD454,2,319.94,East,Online,639.88
ORD000144,2024-08-09,CUST0295,PROD338,7,173.86,West,Online,1217.02
ORD000145,2024-08-18,CUST0668,PROD449,6,215.1,East,Store,1290.6
ORD000146,2024-08-24,CUST1182,PROD190,8,15.88,East,Store,127.04
ORD000147,2024-05-22,CUST0549,PROD184,6,69.99,South,Mobile,419.93999999999994
ORD000148,2024-06-19,CUST0631,PROD067,9,289.23,East,Store,2603.07
ORD000149,2024-01-29,CUST1091,PROD017,10,115.79,West,Partner,1157.9
ORD000150,2024-02-05,CUST1778,PROD383,2,80.84,West,Partner,161.68
ORD000151,2024-01-13,CUST0299,PROD368,7,168.96,Central,Online,1182.72
ORD000152,2024-06-08,CUST1487,PROD392,5,90.13,South,Mobile,450.65
ORD000153,2024-11-22,CUST1749,PROD316,1,39.21,North,Online,39.21
ORD000154,2024-07-05,CUST1844,PROD497,3,149.09,Central,Online,447.27
ORD000155,2024-08-30,CUST0101,PROD296,4,90.54,East,Mobile,362.16
ORD000156,2024-03-26,CUST1080,PROD209,2,401.7,South,Online,803.4
ORD000157,2024-10-10,CUST0332,PROD345,7,40.7,Central,Mobile,284.90000000000003
ORD000158,2024-03-06,CUST0836,PROD446,1,376.25,West,Online,376.25
ORD000159,2024-06-18,CUST1775,PROD041,3,197.57,South,Online,592.71
ORD000160,2024-02-14,CUST0393,PROD396,9,340.91,South,Mobile,3068.19
ORD000161,2024-03-02,CUST1767,PROD477,2,35.82,East,Partner,71.64
ORD000162,2024-05-13,CUST0874,PROD473,5,461.14,South,Online,2305.7
ORD000163,2024-10-10,CUST0381,PROD115,4,386.01,South,Online,1544.04
ORD000164,2024-01-28,CUST0092,PROD100,3,78.67,North,Partner,236.01
ORD000165,2024-04-17,CUST1815,PROD373,5,117.2,East,Mobile,586.0
ORD000166,2024-02-13,CUST0447,PROD438,6,325.56,South,Mobile,1953.3600000000001
ORD000167,2024-12-05,CUST0109,PROD345,1,461.57,South,Partner,461.57
ORD000168,2024-10-12,CUST0317,PROD349,2,228.46,North,Mobile,456.92
ORD000169,2024-11-26,CUST1192,PROD139,1,247.96,North,Store,247.96
ORD000170,2024-05-07,CUST1836,PROD316,3,126.52,West,Online,379.56
ORD000171,2024-12-13,CUST1944,PROD324,8,197.68,East,Mobile,1581.44
ORD000172,2024-08-18,CUST1459,PROD334,8,150.15,North,Partner,1201.2
ORD000173,2024-07-08,CUST0442,PROD302,4,181.78,South,Online,727.12
